pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
80.8025,-104.46,180.0,top,C58,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
91.41,-72.08,-90.0,top,C6,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10p,smt
97.1,-110.55,-90.0,top,C60,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
119.25,-127.15,90.0,top,C63,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
123.6,-128.2,-90.0,top,C64,,,CP_Radial_D5.0mm_P2.00mm,100uF,tht
101.22,-77.5625,90.0,top,C7,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
91.05,-80.265,90.0,top,C8,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,100nF,smt
86.71,-72.03,-90.0,top,C9,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,47p,smt
133.51,-98.905,-90.0,top,CR1,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1N4148,smt
123.12,-48.19,0.0,top,CR10,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1N4148,smt
138.335,-48.17,0.0,top,CR11,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1N4148,smt
148.88,-48.12,0.0,top,CR12,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1N4148,smt
159.95,-47.86,0.0,top,CR13,,,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1N4148,smt
